                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal  25000  2.3151e+03   2.4789e+03   6.8371e+02   1.6195e+03  -2.4669e+03  |  0.000
ILSRR 2315.1413280010943 1868.4254456162357 
Sim Anneal      0  1.2209e+10   1.2209e+10   6.1687e+03   1.4569e+03  -2.7740e+03  | -1.000
Sim Anneal   1000  7.0674e+03   3.8995e+03   4.5030e+03   1.1282e+03  -2.4633e+03  | 960.000
Sim Anneal   2000  5.0570e+03   3.3138e+03   2.7023e+03   1.4880e+03  -2.4471e+03  | 920.000
Sim Anneal   3000  4.0356e+03   2.8422e+03   2.2600e+03   1.3737e+03  -2.4404e+03  | 880.000
Sim Anneal   4000  3.4776e+03   2.8565e+03   1.6867e+03   1.3610e+03  -2.4265e+03  | 840.000
Sim Anneal   5000  3.4573e+03   2.8838e+03   1.6377e+03   1.3666e+03  -2.4308e+03  | 800.000
Sim Anneal   6000  3.4152e+03   2.7846e+03   1.6889e+03   1.3685e+03  -2.4269e+03  | 760.000
Sim Anneal   7000  3.3963e+03   2.7743e+03   1.6285e+03   1.4161e+03  -2.4225e+03  | 720.000
Sim Anneal   8000  3.3076e+03   2.6585e+03   1.6218e+03   1.4500e+03  -2.4227e+03  | 680.000
Sim Anneal   9000  3.0993e+03   2.6489e+03   1.3926e+03   1.4814e+03  -2.4236e+03  | 640.000
Sim Anneal  10000  3.0993e+03   2.6489e+03   1.3926e+03   1.4814e+03  -2.4236e+03  | 600.000
Sim Anneal  11000  3.1026e+03   2.6484e+03   1.3966e+03   1.4812e+03  -2.4235e+03  | 560.000
Sim Anneal  12000  3.0520e+03   2.5983e+03   1.4000e+03   1.4812e+03  -2.4274e+03  | 520.000
Sim Anneal  13000  3.0553e+03   2.6343e+03   1.4181e+03   1.4324e+03  -2.4295e+03  | 480.000
Sim Anneal  14000  3.0314e+03   2.5405e+03   1.4929e+03   1.4226e+03  -2.4245e+03  | 440.000
Sim Anneal  15000  3.0064e+03   2.5296e+03   1.4530e+03   1.4498e+03  -2.4259e+03  | 400.000
Sim Anneal  16000  2.9895e+03   2.5082e+03   1.4595e+03   1.4485e+03  -2.4267e+03  | 360.000
Sim Anneal  17000  2.9064e+03   2.5042e+03   1.3394e+03   1.4835e+03  -2.4208e+03  | 320.000
Sim Anneal  18000  2.8818e+03   2.4604e+03   1.3372e+03   1.5087e+03  -2.4246e+03  | 280.000
Sim Anneal  19000  2.8634e+03   2.5160e+03   1.2951e+03   1.4834e+03  -2.4312e+03  | 240.000
Sim Anneal  20000  2.8646e+03   2.5360e+03   1.2788e+03   1.4790e+03  -2.4292e+03  | 200.000
Sim Anneal  21000  2.8359e+03   2.4637e+03   1.3092e+03   1.4943e+03  -2.4313e+03  | 160.000
Sim Anneal  22000  2.8359e+03   2.4637e+03   1.3092e+03   1.4943e+03  -2.4313e+03  | 120.000
Sim Anneal  23000  2.8066e+03   2.4881e+03   1.2315e+03   1.5282e+03  -2.4413e+03  | 80.000
Sim Anneal  24000  2.7034e+03   2.5845e+03   9.3928e+02   1.6254e+03  -2.4458e+03  | 40.000
Sim Anneal  25000  2.6505e+03   2.5406e+03   9.2652e+02   1.6303e+03  -2.4469e+03  |  0.000
ILSRR 2650.4882446474035 1868.4254456162357 
Sim Anneal      0  2.0076e+07   2.0072e+07   4.4306e+03   1.5874e+03  -2.5318e+03  | -1.000
Sim Anneal   1000  6.4016e+03   3.9818e+03   3.3899e+03   1.4743e+03  -2.4444e+03  | 960.000
Sim Anneal   2000  4.8935e+03   3.0621e+03   2.7263e+03   1.5651e+03  -2.4600e+03  | 920.000
Sim Anneal   3000  4.1149e+03   2.8134e+03   2.1134e+03   1.6438e+03  -2.4557e+03  | 880.000
Sim Anneal   4000  3.8472e+03   2.5642e+03   2.0755e+03   1.6430e+03  -2.4356e+03  | 840.000
