(   MC)        20000 | ⚡E:  2.826e+03 ▶️ ⚡Amber:  2.421e+03 & ⚡Other:  4.049e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4643 | T: 270.00
(   MC)        30000 | ⚡E:  2.954e+03 ▶️ ⚡Amber:  2.342e+03 & ⚡Other:  6.122e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4614 | T: 255.00
(   MC)        40000 | ⚡E:  4.167e+03 ▶️ ⚡Amber:  3.653e+03 & ⚡Other:  5.146e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4581 | T: 240.00
(   MC)        50000 | ⚡E:  3.555e+03 ▶️ ⚡Amber:  3.115e+03 & ⚡Other:  4.402e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4531 | T: 225.00
(   MC)        60000 | ⚡E:  2.657e+03 ▶️ ⚡Amber:  2.229e+03 & ⚡Other:  4.282e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4496 | T: 210.00
(   MC)        70000 | ⚡E:  3.364e+03 ▶️ ⚡Amber:  2.799e+03 & ⚡Other:  5.647e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4450 | T: 195.00
(   MC)        80000 | ⚡E:  3.992e+03 ▶️ ⚡Amber:  3.349e+03 & ⚡Other:  6.428e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4417 | T: 180.00
(   MC)        90000 | ⚡E:  2.695e+03 ▶️ ⚡Amber:  2.085e+03 & ⚡Other:  6.106e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4367 | T: 165.00
(   MC)       100000 | ⚡E:  2.482e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  4.576e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4316 | T: 150.00
(   MC)       110000 | ⚡E:  3.125e+03 ▶️ ⚡Amber:  2.517e+03 & ⚡Other:  6.080e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4241 | T: 135.00
(   MC)       120000 | ⚡E:  2.580e+03 ▶️ ⚡Amber:  2.253e+03 & ⚡Other:  3.267e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4185 | T: 120.00
(   MC)       130000 | ⚡E:  2.449e+03 ▶️ ⚡Amber:  2.123e+03 & ⚡Other:  3.256e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4101 | T: 105.00
(   MC)       140000 | ⚡E:  1.536e+03 ▶️ ⚡Amber:  1.177e+03 & ⚡Other:  3.587e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4009 | T: 90.00
(   MC)       150000 | ⚡E:  1.877e+03 ▶️ ⚡Amber:  1.525e+03 & ⚡Other:  3.514e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3924 | T: 75.00
(   MC)       160000 | ⚡E:  1.172e+03 ▶️ ⚡Amber:  8.703e+02 & ⚡Other:  3.017e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3826 | T: 60.00
(   MC)       170000 | ⚡E:  9.461e+02 ▶️ ⚡Amber:  6.337e+02 & ⚡Other:  3.123e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3736 | T: 45.00
(   MC)       180000 | ⚡E:  5.680e+02 ▶️ ⚡Amber:  3.189e+02 & ⚡Other:  2.492e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3649 | T: 30.00
(   MC)       190000 | ⚡E:  1.299e+02 ▶️ ⚡Amber: -1.191e+02 & ⚡Other:  2.490e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3569 | T: 15.00
(   MC)       200000 | ⚡E: -2.105e+02 ▶️ ⚡Amber: -4.615e+02 & ⚡Other:  2.511e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3494 | T: 0.00
(   MC)            0 | ⚡E:  2.995e+06 ▶️ ⚡Amber:  2.995e+06 & ⚡Other:  3.916e+02 | Dihedral: 1.57e+00 | Crankshaft: 1.57e+00 | AR: 0.0000 | T: 300.00
(   MC)        10000 | ⚡E:  3.284e+03 ▶️ ⚡Amber:  2.837e+03 & ⚡Other:  4.474e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4696 | T: 285.00
(   MC)        20000 | ⚡E:  3.569e+03 ▶️ ⚡Amber:  3.264e+03 & ⚡Other:  3.053e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4689 | T: 270.00
(   MC)        30000 | ⚡E:  3.544e+03 ▶️ ⚡Amber:  3.018e+03 & ⚡Other:  5.262e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4654 | T: 255.00
(   MC)        40000 | ⚡E:  3.134e+03 ▶️ ⚡Amber:  2.322e+03 & ⚡Other:  8.112e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4644 | T: 240.00
(   MC)        50000 | ⚡E:  2.927e+03 ▶️ ⚡Amber:  2.299e+03 & ⚡Other:  6.276e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4588 | T: 225.00
(   MC)        60000 | ⚡E:  2.519e+03 ▶️ ⚡Amber:  1.927e+03 & ⚡Other:  5.916e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4532 | T: 210.00
(   MC)        70000 | ⚡E:  2.664e+03 ▶️ ⚡Amber:  2.100e+03 & ⚡Other:  5.638e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4497 | T: 195.00
(   MC)        80000 | ⚡E:  3.033e+03 ▶️ ⚡Amber:  2.635e+03 & ⚡Other:  3.977e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4434 | T: 180.00
(   MC)        90000 | ⚡E:  3.353e+03 ▶️ ⚡Amber:  2.588e+03 & ⚡Other:  7.648e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4387 | T: 165.00
(   MC)       100000 | ⚡E:  2.264e+03 ▶️ ⚡Amber:  1.742e+03 & ⚡Other:  5.225e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4332 | T: 150.00
(   MC)       110000 | ⚡E:  2.296e+03 ▶️ ⚡Amber:  1.967e+03 & ⚡Other:  3.291e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4279 | T: 135.00
(   MC)       120000 | ⚡E:  2.119e+03 ▶️ ⚡Amber:  1.397e+03 & ⚡Other:  7.222e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4204 | T: 120.00
(   MC)       130000 | ⚡E:  2.291e+03 ▶️ ⚡Amber:  1.902e+03 & ⚡Other:  3.889e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4127 | T: 105.00
(   MC)       140000 | ⚡E:  1.095e+03 ▶️ ⚡Amber:  7.413e+02 & ⚡Other:  3.535e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4013 | T: 90.00
(   MC)       150000 | ⚡E:  1.273e+03 ▶️ ⚡Amber:  9.781e+02 & ⚡Other:  2.948e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3912 | T: 75.00
(   MC)       160000 | ⚡E:  5.775e+02 ▶️ ⚡Amber:  2.469e+02 & ⚡Other:  3.306e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3812 | T: 60.00
