(REFNM)          101 | ⚡E:  2.296e+03 ▶️ ⚡Amber:  1.939e+03 & ⚡Other:  3.568e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4752 | T: 200.00
(REFNM)          102 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4804 | T: 200.00
(REFNM)          103 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4757 | T: 200.00
(REFNM)          104 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4712 | T: 200.00
(REFNM)          105 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4667 | T: 200.00
(REFNM)          106 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4623 | T: 200.00
(REFNM)          107 | ⚡E:  2.380e+03 ▶️ ⚡Amber:  2.025e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4579 | T: 200.00
(REFNM)          108 | ⚡E:  2.411e+03 ▶️ ⚡Amber:  2.058e+03 & ⚡Other:  3.529e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4630 | T: 200.00
(REFNM)          109 | ⚡E:  2.471e+03 ▶️ ⚡Amber:  2.119e+03 & ⚡Other:  3.523e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4679 | T: 200.00
(REFNM)          110 | ⚡E:  2.471e+03 ▶️ ⚡Amber:  2.119e+03 & ⚡Other:  3.523e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4636 | T: 200.00
